well,frac_num,frac_start_minutes,frac_end_minutes
A01,1,0.2,0.5
A02,2,0.5,0.9
A03,3,0.9,1.2
A04,4,1.2,1.5
A05,5,1.5,1.9
A06,6,1.9,2.2
A07,7,2.2,2.5
A08,8,2.5,2.9
A09,9,2.9,3.2
A10,10,3.2,3.5
A11,11,3.5,3.9
A12,12,3.9,4.2
B12,13,4.2,4.5
B11,14,4.5,4.9
B10,15,4.9,5.2
B09,16,5.2,5.5
B08,17,5.5,5.9
B07,18,5.9,6.2
B06,19,6.2,6.5
B05,20,6.5,6.9
B04,21,6.9,7.2
B03,22,7.2,7.5
B02,23,7.5,7.9
B01,24,7.9,8.2
C01,25,8.2,8.5
C02,26,8.5,8.9
C03,27,8.9,9.2
C04,28,9.2,9.5
C05,29,9.5,9.9
C06,30,9.9,10.2
C07,31,10.2,10.5
C08,32,10.5,10.9
C09,33,10.9,11.2
C10,34,11.2,11.5
C11,35,11.5,11.9
C12,36,11.9,12.2
D12,37,12.2,12.5
D11,38,12.5,12.9
D10,39,12.9,13.2
D09,40,13.2,13.5
D08,41,13.5,13.9
D07,42,13.9,14.2
D06,43,14.2,14.5
D05,44,14.5,14.9
D04,45,14.9,15.2
D03,46,15.2,15.5
D02,47,15.5,15.9
D01,48,15.9,16.2
E01,49,16.2,16.5
E02,50,16.5,16.9
E03,51,16.9,17.2
E04,52,17.2,17.5
E05,53,17.5,17.9
E06,54,17.9,18.2
E07,55,18.2,18.5
E08,56,18.5,18.9
E09,57,18.9,19.2
E10,58,19.2,19.5
E11,59,19.5,19.9
E12,60,19.9,20.2
F12,61,20.2,20.5
F11,62,20.5,20.9
F10,63,20.9,21.2
F09,64,21.2,21.5
F08,65,21.5,21.9
F07,66,21.9,22.2
F06,67,22.2,22.5
F05,68,22.5,22.9
F04,69,22.9,23.2
F03,70,23.2,23.5
F02,71,23.5,23.9
F01,72,23.9,24.2
G01,73,24.2,24.5
G02,74,24.5,24.9
G03,75,24.9,25.2
G04,76,25.2,25.5
G05,77,25.5,25.9
G06,78,25.9,26.2
G07,79,26.2,26.5
G08,80,26.5,26.9
G09,81,26.9,27.2
G10,82,27.2,27.5
G11,83,27.5,27.9
G12,84,27.9,28.2
H12,85,28.2,28.5
H12,86,28.5,28.9
H10,87,28.9,29.2
H09,88,29.2,29.5
H08,89,29.5,29.9
H07,90,29.9,30.2